activity,E2m[576],RDF095p[1352],EEig06x[2775],p5-1O[2292],RDF080m[1259],RDF090u[1231],W[120]
2.7,0.167,14.915,3.589,10,14.878,5.775,532
3,0.191,12.723,3.164,10,13.078,4.087,116
3.23,0.183,12.323,3.164,10,13.764,4.045,116
2.6,0.205,15.066,3.589,10,14.375,6.331,814
3.4,0.15,11.798,3.148,14,11.673,4.943,280
2.18,0.128,13.797,3.592,13,23.494,3.001,529
3.3,0.189,13.721,3.282,11,13.175,8.353,296
2.48,0.138,14.133,3.503,10,13.5,1.419,280
2.41,0.141,13.045,3.583,10,14.772,6.794,256
2.48,0.216,14.132,3.589,11,17.141,8.749,98
2.3,0.133,18.374,3.589,12,15.282,1.375,974
2.3,0.164,16.295,3.589,10,14.037,3.886,532
2.3,0.142,15.381,3.158,10,14.203,0.225,54
3,0.248,11.91,3.164,10,13.616,2.396,116
3.69,0.18,10.406,2.795,9,7.074,8.409,562
2,0.124,16.943,3.589,11,13.813,3.504,310
2.3,0.144,15.015,3.503,10,13.545,5.059,280
2.95,0.15,13.577,3.153,11,12.568,5.474,95
3.08,0.139,13.129,3.158,14,13.806,6.431,326
3.04,0.16,13.103,3.142,10,11.546,7.973,509
3.58,0.153,6.689,2.795,7,6.3,5.84,51
2.18,0.144,13.466,3.583,10,14.471,4.948,256
2.7,0.191,14.422,3.288,10,12.678,5.225,318
3.45,0.313,12.563,3.408,12,13.938,4.631,622
2.85,0.161,16.481,3.231,12,16.573,9.556,726
2.3,0.177,13.484,3.26,10,14.072,4.134,323
2.85,0.154,12.424,3.141,10,12.431,3.32,892
3.3,0.171,12.639,3.427,10,11.681,7.068,532
3,0.154,13.041,3.148,10,11.684,5.544,280
2.6,0.168,15.312,3.589,10,14.192,5.811,532
2.95,0.165,14.48,3.143,10,12.947,7.497,74
2.18,0.143,14.418,3.503,10,12.984,1.493,280
2.3,0.135,15.923,3.589,13,18.493,8.367,200
3.6,0.169,5.676,3.104,12,8.265,1.655,629
